OTU	T1	T2	T4	Genus-species	acc	id%	Trophic	occurrence	readnumber	B-Surf-20	B-Surf-5	B-Surf-0.2	C-Surf-20	C-Surf-5	C-Surf-0.2	M-DCM-5	M-DCM-0.2	A-Surf-20	C-DCM-20	C-DCM-5	C-DCM-0.2	D-15m-20	D-15m-5	D-15m-0.2	D-50m-20	D-50m-5	D-50m-0.2	E-Surf-20	E-Surf-5	E-Surf-0.2	E-DCM-20	E-DCM-5	E-DCM-0.2	G-Surf-20	G-Surf-5	G-Surf-0.2	G-DCM-20	G-DCM-5	G-DCM-0.2	H-Surf-20	A-Surf-0.2	H-Surf-0.2	H-DCM-20	H-DCM-5	H-DCM-0.2	I-Surf-20	I-Surf-5	I-Surf-0.2	I-15m-20	I-15m-5	I-15m-0.2	J-Surf-20	J-Surf-5	J-Surf-0.2	J-DCM-20	J-DCM-5	J-DCM-0.2	K-Surf-20	K-Surf-5	K-Surf-0.2	K-DCM-20	K-DCM-5	K-DCM-0.2	L-Surf-20	L-Surf-5	L-Surf-0.2	L-DCM-20	L-DCM-5	L-DCM-0.2	M-Surf-20	M-Surf-5	M-Surf-0.2	M-DCM-20	O-DCM-20	O-DCM-0.2	O-Bucket-5	P-Surf-20	P-DCM-20	P-DCM-5	P-DCM-0.2	Q-Surf-20	Q-Surf-0.2	Q-DCM-0.2	Q-Bucket-20	Q-Bucket-5	Q-Bucket-0.2	R-Surf-0.2	A-DCM-20	A-DCM-0.2	O-Surf-20	O-Surf-5	O-Surf-0.2	O-DCM-5	O-Bucket-20	O-Bucket-0.2	P-Surf-5	P-Surf-0.2	Q-Surf-5	Q-DCM-20	Q-DCM-5	R-Surf-20	R-Surf-5	R-16m-20	R-16m-5	R-16m-0.2
OTU3278	Sar	Stramenopiles	Bacillariophyta	Asterionellopsis-socialis	LC189082	96	Phototroph	14	88	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	11	0	0	0	0	0	2	0	0	0	0	29	0	14	0	11	0	1	0	0	0
OTU328	Sar	Stramenopiles	Bacillariophyta	Corethron-inerme	AJ535180	94	Phototroph	31	564	45	0	0	76	0	0	0	0	28	51	0	0	60	0	0	4	0	0	34	3	0	23	0	0	22	0	0	5	0	0	12	0	0	18	0	0	3	0	0	5	0	0	0	0	0	0	0	0	2	0	0	3	2	0	2	0	0	4	0	0	0	0	0	0	2	0	0	7	1	0	0	19	0	0	13	0	0	0	13	0	11	0	0	0	29	0	0	0	0	39	0	19	0	9	0	0
OTU329	Sar	Stramenopiles	Bacillariophyta	Eucampia-sp.	KX253956	99	Phototroph	28	520	7	0	0	3	0	0	0	0	48	2	0	0	3	0	0	3	0	0	17	0	0	15	0	0	0	0	0	5	0	0	11	0	0	16	0	0	8	0	0	7	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	15	2	0	0	21	0	0	29	0	0	0	119	0	18	0	0	0	23	0	0	0	0	8	0	34	1	90	0	0
OTU33	Sar	Stramenopiles	Bacillariophyta	Fragilariopsis-kerguelensis	LR782263	100	Phototroph	69	10273	19	83	0	4	97	0	5	0	22	16	69	0	7	12	0	13	10	0	5	59	0	3	16	0	1	0	0	1	0	0	3	55	2	11	83	0	150	55	0	140	67	0	400	2	0	496	3	0	1211	2	1	873	203	2	830	0	1	448	3	0	291	3	0	414	263	0	190	39	58	39	0	13	0	0	13	16	0	0	2	11	549	383	1	56	323	2	292	0	222	34	171	51	701	15	637	1
OTU330	Sar	Stramenopiles	Bacillariophyta	Gyrosigma-limosum	KY320348	94	Phototroph	43	1082	0	3	0	0	55	0	2	0	0	0	2	0	0	4	0	0	0	0	0	13	0	0	6	0	0	2	0	0	0	0	0	0	0	0	17	0	3	3	0	0	4	0	5	5	0	10	0	0	34	4	0	28	8	0	30	8	0	22	3	0	3	3	0	3	9	0	75	4	3	2	0	0	0	0	0	117	0	0	0	0	8	34	0	5	13	0	157	0	180	1	65	3	78	0	48	0
OTU331	Sar	Stramenopiles	Bacillariophyta	Porosira-sp.	MH843681	93	Phototroph	24	468	0	0	0	88	0	0	0	0	1	0	0	0	20	0	0	0	0	0	0	0	0	2	0	0	8	0	0	1	0	0	0	0	0	0	0	0	23	0	0	24	0	0	2	0	0	0	0	0	7	0	0	3	1	0	2	0	0	14	0	0	58	0	0	49	2	0	0	3	0	0	0	1	0	0	3	0	0	0	0	0	81	0	0	0	67	0	0	0	0	1	0	7	0	0	0	0
OTU332	Sar	Stramenopiles	Bacillariophyta	Thalassiothrix-longissima	AB430611	92	Phototroph	28	337	1	0	0	0	0	0	0	0	3	0	0	0	4	0	0	13	0	0	1	0	0	1	0	0	7	0	0	3	0	0	8	0	0	37	1	0	34	0	0	108	1	0	7	0	0	8	0	0	0	0	0	6	0	0	4	0	0	1	0	0	5	0	0	0	10	0	0	20	3	0	0	0	0	0	1	0	0	0	0	0	18	0	0	0	28	0	0	0	0	3	0	1	0	0	0	0
OTU3366	Sar	Stramenopiles	Bacillariophyta	Porosira-pseudodenticulata	DQ514848	97	Phototroph	18	83	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7	0	0	8	0	0	5	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	35	0	12	0	0
OTU338	Sar	Stramenopiles	Bacillariophyta	Conticribra-guillardii	KY980193	97	Phototroph	30	482	111	0	0	28	0	0	1	0	6	22	0	0	19	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	18	0	0	36	0	0	9	0	0	6	0	0	5	0	0	5	0	0	8	0	0	12	2	0	3	0	0	5	0	0	5	0	0	1	20	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	27	0	0	0	39	0	0	0	0	14	0	49	0	24	0	0
OTU3389	Sar	Stramenopiles	Bacillariophyta	Entomoneis-ornata	KX120693	93	Phototroph	12	93	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	26	0	0	0	24	0	0	15	0	0	0	0	0	5	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0
OTU339	Sar	Stramenopiles	Bacillariophyta	Thalassiosira-minicosmica	MF405352	99	Phototroph	33	431	53	0	0	22	0	0	1	0	4	19	0	0	32	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	15	0	0	4	0	0	4	0	0	5	0	0	14	1	0	22	0	0	17	7	0	31	0	0	11	0	0	5	0	0	4	11	0	0	6	0	0	0	3	0	0	3	0	0	0	0	0	26	0	0	0	23	0	0	0	0	19	0	37	0	26	1	0
OTU3390	Sar	Stramenopiles	Bacillariophyta	Plagiogrammopsis-vanheurckii	MF001994	97	Phototroph	23	129	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	4	0	0	1	0	0	1	0	0	3	0	0	4	1	0	11	0	0	6	0	0	2	1	0	2	50	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0
OTU3398	Sar	Alveolata	Dinophyceae	Brachidinium-capitatum	HM066998	98	Phototroph	30	92	0	9	3	0	0	1	1	0	0	0	3	0	0	2	1	0	1	1	0	2	2	0	2	1	0	8	0	0	1	1	0	1	0	0	2	0	0	3	0	0	5	0	0	0	0	0	0	0	0	6	0	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0
OTU34	Sar	Stramenopiles	Bacillariophyta	Bacterosira-sp.	MH843676	100	Phototroph	63	14353	3	4	0	1	9	0	594	0	9	1	2	0	1	0	0	0	0	0	1	17	0	1	17	0	8	9	0	3	0	0	1	28	0	1	22	0	5	17	0	1	18	0	590	1166	0	1012	2017	0	1292	674	3	812	1072	0	543	613	1	615	563	1	186	674	0	122	5	0	16	3	5	10	0	0	0	0	1	1	0	0	7	10	4	7	0	4	6	1	8	0	0	1	1	588	478	338	130	0
OTU3424	Sar	Stramenopiles	Bacillariophyta	Fragilariopsis-sp.	MN824024	98	Phototroph	26	116	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	3	0	1	0	0	0	0	0	1	0	0	6	0	1	3	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	22	0	7	0	1	12	0	22	0	3	0	6	0	8	0
OTU343	Sar	Stramenopiles	Bacillariophyta	Entomoneis-sp.	MH063466	95	Phototroph	21	294	5	0	0	7	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	2	0	0	0	0	0	13	0	0	6	5	0	10	0	0	15	0	0	0	0	0	0	24	0	0	12	0	0	0	15	0	0	16	0	0	0	0	0	35	0	0	0	57	0	0	0	0	9	0	24	0	23	0	0
OTU344	Sar	Stramenopiles	Bacillariophyta	Corethron-inerme	AJ535180	94	Phototroph	33	309	39	0	0	14	0	0	0	0	12	14	0	0	43	0	0	12	0	0	4	0	0	2	0	0	1	0	0	1	0	0	11	0	0	16	0	0	2	0	0	3	0	0	9	0	0	18	0	0	16	0	0	27	2	0	0	0	0	15	0	0	3	0	0	4	2	0	0	7	2	0	0	4	0	0	3	0	0	0	1	0	1	0	0	0	7	0	0	0	0	9	0	2	0	3	0	0
OTU3464	Sar	Stramenopiles	Bacillariophyta	Shionodiscus-ritscheri	DQ514891	96	Phototroph	24	134	2	0	0	26	0	0	0	0	4	9	0	0	26	0	0	0	0	0	6	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	6	0	0	0	0	0	5	2	0	0	0	0	7	0	0	0	0	0	1	3	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	7	0	12	0	0
OTU347	Sar	Stramenopiles	Bacillariophyta	Chaetoceros-brevis	KF899834	100	Phototroph	25	246	3	0	0	0	0	0	1	0	9	11	0	0	0	0	0	1	0	0	4	0	0	5	0	0	4	0	0	4	0	0	0	0	0	10	0	0	11	0	0	7	0	0	16	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	67	0	0	0	0	1	0	0	0	0	0	0	0	47	2	32	0	0
OTU3473	Sar	Stramenopiles	Bacillariophyta	Stellarima-microtrias	HQ912614	95	Phototroph	12	62	0	0	0	23	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	3	0	0	7	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0
OTU348	Sar	Stramenopiles	Bacillariophyta	Fragilariopsis-sp.	MN824024	98	Phototroph	30	526	0	2	0	0	18	0	1	0	0	0	4	0	0	10	0	0	0	0	0	6	0	0	3	0	0	4	0	0	0	0	0	0	1	0	2	0	0	2	0	0	3	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	1	1	0	116	5	0	0	0	0	52	1	8	0	2	42	0	105	0	90	0	3	0	4	0
OTU351	Sar	Stramenopiles	Bacillariophyta	Thalassiosira-minicosmica	MF405352	96	Phototroph	34	624	55	0	0	74	0	0	0	0	34	55	0	1	98	0	0	7	0	0	47	0	0	21	0	0	4	0	0	1	0	0	16	0	0	26	0	0	1	0	0	0	0	0	10	0	0	6	0	0	4	0	0	15	2	0	4	0	0	2	0	0	2	0	0	1	1	0	0	5	2	0	0	8	0	0	8	0	0	0	13	0	3	0	0	0	11	0	0	0	0	46	0	34	0	7	0	0
OTU352	Sar	Stramenopiles	Bacillariophyta	Haslea-avium	KY937692	96	Phototroph	24	1359	0	0	0	0	0	0	175	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	34	88	0	31	145	0	161	41	0	101	105	0	98	74	0	106	62	0	24	97	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0
