	sample	station	Group_name	layer	size_num	size	group	latitude	longitude	time	bottom	depth	ZML_TS	Ze	ZCM	ice	air_temp	water_temp	conductivity	salinity	PAR	surf_PAR	oxygen	O_saturation	beam_trans	NH4	NO2NO3	PO4	fluorescence	Chla	Pprod_Sun	Pprod_PAR	Pprod_PAR_20	Babun	Bprod	Observed	Chao1	se.chao1	Shannon	picoDiversity	nanoDiversity	microDiversity
A.DCM.0.2	A_DCM_0.2	A	Gerlache	DCM	0.2	pico	0	-64.54076	-62.37334	310.483787	740	45.545	24.754	49.505	30.694	0	-0.5	-0.4028	28.113623	34.1966	13.928	1085.2	6.2321	8.14088	98.5873	1.27	30.87	3.29	0.7392	0.52	 	 	 	158413839.9	3.64	1120	1910.030612	91.91560294	3.357687566	1120		462
A.Surf.0.2	A_Surf_0.2	A	Gerlache	Surf	0.2	pico	0	-64.54078	-62.3734	310.486717	740	0.991	24.754	49.505	30.694	0	-0.5	-0.6311	27.769273	34.018	965.28	920.13	7.0067	8.20035	97.8965	1.38	29.97	3.03	0.1508	0.5	 	 	 	136414934.3	4.07	1294	2060.107296	84.89243439	3.898367988	1294		618
B.Surf.0.2	B_Surf_0.2	B	Palmer	Surf	0.2	pico	1	-64.82037	-64.07356	312.875765	640	0.989	15.842	38.615	16.833	0.9	-1.2	-1.3715	27.037426	33.8567	827.51	472.37	5.9068	8.37324	98.7673	 	 	 	0.3114	 	 	 	 	 	5.56	1029	1727.039326	85.63751404	3.349097044	1029	1037	687
C.DCM.0.2	C_DCM_0.2	C	Palmer	DCM	0.2	pico	1	-64.89636	-64.2025	315.479641	799	29.703	11.882	53.464	40.595	1	-1.4	-1.3452	27.08685	33.8767	37.213	741.52	6.75	8.36615	98.8663	1.35	31.4	3.07	0.3728	0.22	0.626	1.222	0.238	155286703.5	1.68	1032	1626.966346	71.6770628	3.288365448	1032	1386	714
C.Surf.0.2	C_Surf_0.2	C	Palmer	Surf	0.2	pico	1	-64.89646	-64.2025	315.480951	799	0.991	11.882	53.464	40.595	1	-1.4	-1.6132	26.647564	33.5915	622.9	716.75	7.1019	8.44376	98.4833	1.48	30.86	3.03	0.2463	0.43	1.041	1.826	0.973	142558493.3	7.85	1112	1666.06422	66.75860102	3.673324311	1112	1366	676
D.50m.0.2	D_50m_0.2	D	Palmer	DCM	0.2	pico	1	-64.95172	-64.30877	315.97204	1405	49.506	14.852	55.445	13.863	0.9	-1.5	-1.6027	26.944004	33.9598	1.7614	146.7	7.2197	8.41926	99.4372	 	 	 	0.2312	 	 	 	 	 	1.61	1130	1659.593301	65.20809066	3.869819344	1130	728	697
D.15m.0.2	D_15m_0.2	D	Palmer	Surf	0.2	pico	1	-64.9517	-64.30869	315.973227	1405	14.852	14.852	55.445	13.863	0.9	-1.5	-1.794	26.635827	33.7716	21.099	142.06	7.2513	8.47421	99.0989	 	 	 	0.3166	 	 	 	 	 	5.01	1177	1936.562791	86.44116385	3.7983071	1177	1090	742
E.DCM.0.2	E_DCM_0.2	E	Grandidier	DCM	0.2	pico	2	-65.23862	-64.19868	317.344075	175	14.852	17.825	58.412	6.933	0.7	-1.2	-1.4048	26.8726	33.6584	10.259	84.55	6.4325	8.39255	98.5756	1.31	30.51	3.16	0.4742	0.33	1.051	1.481	0.467	122173047.6	2.26	1296	2102.539419	87.5849798	3.77925379	1296	1479	452
E.Surf.0.2	E_Surf_0.2	E	Grandidier	Surf	0.2	pico	2	-65.2386	-64.19871	317.3457	175	0.992	17.825	58.412	6.933	0.7	-1.2	-1.407	26.863202	33.6567	45.909	93.36	6.5109	8.39314	98.5552	1.33	30.86	2.94	0.4204	0.39	1.091	1.79	0.737	92386095.07	3.26	1277	2082.055794	88.37852013	3.700324401	1277	1382	506
G.DCM.0.2	G_DCM_0.2	G	Grandidier	DCM	0.2	pico	2	-65.49264	-64.54692	319.341426	175	34.652	13.862	70.289	8.91	0.7	-1.5	-1.4408	27.040816	33.9186	4.0854	126.57	6.3669	8.38514	99.0836	1.22	30.69	3.25	0.1776	0.1	0.39	0.354	0.202	111458665.3	0.61	966	1534.167568	71.57519757	3.14555395	966	363	692
G.Surf.0.2	G_Surf_0.2	G	Grandidier	Surf	0.2	pico	2	-65.49254	-64.547	319.34335	175	0.991	13.862	70.289	8.91	0.7	-1.5	-1.6492	26.749904	33.7745	64.818	143.25	6.4775	8.44097	98.967	1.3	30.15	3.16	0.1779	0.19	0.296	0.475	0.457	108744279	1.16	1177	2060.575	100.1241196	3.421128987	1177	1306	923
H.DCM.0.2	H_DCM_0.2	H	Offshore	DCM	0.2	pico	3	-65.00782	-66.3749	323.351825	432	29.703	19.802	52.474	32.675	0	-1.1	-1.2309	27.234178	33.9495	6.1034	689.81	7.7771	8.33626	97.6316	1.3	28.54	3.39	0.8836	0.46	3.385	4.39	3.372	223402144.3	4.19	1139	1697.641593	66.48390685	3.670646106	1139	1209	600
H.Surf.0.2	H_Surf_0.2	H	Offshore	Surf	0.2	pico	3	-65.0079	-66.37487	323.353249	432	0.989	19.802	52.474	32.675	0	-1.1	-1.3235	27.05803	33.8306	148.48	710.28	7.9212	8.36401	96.4345	1.29	27.83	2.94	0.531	0.71	1.905	2.936	1.207	242604601.9	6.64	1054	1746.052632	86.12971614	3.56499947	1054		405
I.15m.0.2	I_15m_0.2	I	Offshore	DCM	0.2	pico	3	-67.14611	-69.55961	324.352576	498	14.85	61.374	83.148	21.78	0.2	-1.5	-1.8488	26.699277	33.923	19.711	161.01	7.0367	8.47763	99.3833	1.23	29.97	3.07	0.1921	0.27	 	 	 	 	1.03	1247	1872.337662	72.27501004	3.786896339	1247	1524	1401
I.Surf.0.2	I_Surf_0.2	I	Offshore	Surf	0.2	pico	3	-67.14599	-69.55949	324.353528	498	0.992	61.374	83.148	21.78	0.2	-1.5	-1.8455	26.695918	33.9235	76.742	173.51	7.0374	8.47684	99.3374	1.22	29.61	2.94	0.1177	0.28	 	 	 	 	0.92	1273	1930.359649	75.52649248	3.85989971	1273	1543	1518
J.DCM.0.2	J_DCM_0.2	J	Marguerite	DCM	0.2	pico	4	-67.78963	-68.65456	325.341176	135	43.556	37.616	39.596	36.626	0	-8.1	-1.4284	26.813532	33.5853	0.40068	144.71	7.6969	8.40224	95.5779	1.29	27.65	3.03	2.4407	0.98	2.471	3.088	2.69	101621380.1	4.1	1067	1564.455814	61.52735605	3.45445022	1067	1235	947
J.Surf.0.2	J_Surf_0.2	J	Marguerite	Surf	0.2	pico	4	-67.78968	-68.65465	325.344048	135	0.99	37.616	39.596	36.626	0	-8.1	-1.6225	26.599683	33.5356	56.368	126.01	7.9261	8.44924	95.4302	1.29	25.86	2.81	1.7987	1.15	4.482	7.222	4.424	91582185.84	7.51	886	1319.976879	58.84682653	3.07408993	886	1178	1086
K.DCM.0.2	K_DCM_0.2	K	Marguerite	DCM	0.2	pico	4	-67.65829	-67.93405	327.359695	746	40.59	27.717	46.525	9.9	0	-1.3	-1.5284	26.704423	33.5493	1.7125	133.09	7.3931	8.42702	97.0993	1.27	26.22	2.85	1.4492	0.96	3.08	4.22	1.007	140446367.9	5.85	1064	1638.036458	71.35625915	3.40534491	1064	1560	1044
K.Surf.0.2	K_Surf_0.2	K	Marguerite	Surf	0.2	pico	4	-67.6584	-67.93331	327.362191	746	1.979	27.717	46.525	9.9	0	-1.3	-1.6001	26.58051	33.483	75.453	161.14	7.6214	8.44728	97.148	1.27	25.68	3.21	0.9297	0.87	3.041	4.697	1.309	120804245.7	6.68	952	1611.173077	85.22525159	2.99065718	952	1392	1023
L.DCM.0.2	L_DCM_0.2	L	Marguerite	DCM	0.2	pico	4	-67.94018	-67.65356	329.341978	276	23.761	34.649	49.494	6.929	0	-1.5	-1.7649	26.456894	33.4835	6.2172	178.08	7.6248	8.48494	97.5588	1.28	25.5	2.94	1.3021	1	3.07	4.021	2.388	213082488.4	9.3	875	1366.2875	66.54611207	2.856007828	875	1377	1153
L.Surf.0.2	L_Surf_0.2	L	Marguerite	Surf	0.2	pico	4	-67.94032	-67.6533	329.34521	276	2.975	34.649	49.494	6.929	0	-1.5	-1.7608	26.447172	33.4787	61.547	177.21	7.6582	8.48431	97.4935	1.3	25.5	2.63	1.0391	1.04	5.69	5.61	1.728	203156324.9	8.82	933	1392.319767	61.68036303	3.171968897	933	1451	906
